property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
1772,555 Evergreen Ave,Brooklyn,NY,11221-5129,Kings,Duplex,7.0,4.0,1984.0,1983.0,1991.0,1538864.0,1500000.0,2024-04-05,R6,69060.0,Off Market,2022-02-14,0.0,Brooklyn
1773,27 Hawthorne St,Brooklyn,NY,11225-5714,Kings,Triplex,5.0,4.0,3184.0,2500.0,1905.0,2033775.0,1810000.0,2019-08-30,R6,115500.0,,,0.0,Brooklyn
1774,709 Monroe St,Brooklyn,NY,11221-2813,Kings,Duplex,3.0,3.0,3000.0,2000.0,1899.0,1806398.0,1280000.0,2021-12-07,R6B,97560.0,Off Market,2024-01-17,3500.0,Brooklyn
1775,83 Ryerson St,Brooklyn,NY,11205-3387,Kings,Quadruplex,,,2800.0,2000.0,1905.0,1264757.0,950000.0,2016-02-08,R6B,451350.0,Sold,2016-01-21,1500000.0,Brooklyn
1776,6541 Admiral Ave,Middle Village,NY,11379-1625,Queens,Duplex,4.0,2.0,1376.0,1287.0,1920.0,957984.0,472000.0,2013-11-02,R4B,48600.0,Off Market,2024-02-03,958000.0,Brooklyn
1777,905 Hancock St,Brooklyn,NY,11233-1473,Kings,Duplex,4.0,3.0,2856.0,2025.0,1992.0,1300519.0,1.0,2022-06-16,R6B,58140.0,Pending,2024-06-29,1100000.0,Brooklyn
1778,346 Halsey St,Brooklyn,NY,11216-2412,Kings,Duplex,5.0,3.0,2280.0,2000.0,1910.0,1320620.0,1310000.0,2024-09-06,R6B,88740.0,Off Market,2020-07-15,772390.0,Brooklyn
1779,99 McDonald Ave,Brooklyn,NY,11218-1007,Kings,Duplex,5.0,2.0,1740.0,2250.0,1910.0,1618779.0,,,R5,102900.0,Pending,2024-09-04,1650000.0,Brooklyn
1780,410A Hancock St,Brooklyn,NY,11216-2413,Kings,Triplex,5.0,4.0,3500.0,1683.0,1899.0,1905294.0,1675000.0,2019-03-25,R6B,116520.0,Off Market,2018-01-29,1829000.0,Brooklyn
1781,255 Madison St,Brooklyn,NY,11216-1401,Kings,Quadruplex,1.0,1.0,3070.0,1767.0,1931.0,1891174.0,,2015-11-23,R6B,376560.0,,,0.0,Brooklyn
1782,119 Suydam St,Brooklyn,NY,11221-2707,Kings,Duplex,5.0,3.0,2112.0,2100.0,2001.0,1174888.0,1115000.0,2019-02-22,R6,66360.0,Off Market,2018-08-31,1275000.0,Brooklyn
1783,116 Ralph Ave,Brooklyn,NY,11221-7594,Kings,Triplex,2.0,1.0,2127.0,1300.0,1927.0,969643.0,375000.0,2003-10-30,R6A,107100.0,Pending,2024-11-01,625000.0,Brooklyn
1784,212 Union St,Brooklyn,NY,11231-3569,Kings,Quadruplex,,,2700.0,2250.0,1900.0,2791951.0,420000.0,1997-02-03,R6B,679860.0,Off Market,,0.0,Brooklyn
1785,91 Herbert St,Brooklyn,NY,11222-5659,Kings,Triplex,1.0,1.0,2288.0,2500.0,1910.0,2253070.0,,,R6B,109560.0,Off Market,,0.0,Brooklyn
1786,139 N 6th St,Brooklyn,NY,11249-3201,Kings,Triplex,2.0,1.0,2500.0,2117.0,1899.0,2411538.0,,2018-08-24,M12R6A,127560.0,Off Market,,0.0,Brooklyn
1787,2030 Bleecker St,Ridgewood,NY,11385-1939,Queens,Quadruplex,,,2850.0,2500.0,1917.0,1246201.0,,,R5B,252450.0,Off Market,,0.0,Brooklyn
1788,77 Eagle St,Brooklyn,NY,11222-6187,Kings,Triplex,,,3376.0,1840.0,1899.0,2540643.0,,2024-05-09,R6B,173700.0,Off Market,,0.0,Brooklyn
1789,34 Jewel St,Brooklyn,NY,11222-5359,Kings,Triplex,2.0,1.0,2000.0,1544.0,1910.0,1658118.0,,2006-06-29,R6B,76740.0,Off Market,,0.0,Brooklyn
1790,7245 60th Ln,Ridgewood,NY,11385-6108,Queens,Quadruplex,,,3484.0,2533.0,1931.0,1313566.0,1230000.0,2023-04-11,R5B,292680.0,Off Market,,0.0,Brooklyn
1791,176 Eagle St,Brooklyn,NY,11222-1402,Kings,Quadruplex,,,2310.0,2500.0,1931.0,900162.0,324000.0,2003-06-27,R6B,481680.0,Off Market,,0.0,Brooklyn
1792,6436 Cooper Ave,Ridgewood,NY,11385-6143,Queens,Duplex,5.0,3.0,2200.0,2000.0,1910.0,851136.0,480000.0,2005-05-17,R5B,56820.0,Off Market,,0.0,Brooklyn
1793,95 Cooper St,Brooklyn,NY,11207-1413,Kings,Duplex,3.0,2.0,2364.0,1400.0,1910.0,1396568.0,690000.0,2014-04-11,R6,77400.0,Off Market,2013-12-12,0.0,Brooklyn
1794,192 Stanhope St,Brooklyn,NY,11237-4575,Kings,Duplex,6.0,2.0,1840.0,2000.0,1930.0,1186317.0,550000.0,2012-07-20,R6,71160.0,,,0.0,Brooklyn
1795,341 Vernon Ave,Brooklyn,NY,11206-5960,Kings,Quadruplex,9.0,4.0,3000.0,1600.0,1931.0,1230228.0,,2024-06-27,R6B,333900.0,Off Market,,0.0,Brooklyn
1796,690 Hart St,Brooklyn,NY,11221-3307,Kings,Triplex,,,2835.0,1680.0,1920.0,1619725.0,50000.0,1996-06-26,R6,85920.0,Off Market,,0.0,Brooklyn
