property_id,property_address,property_city,property_state,property_zip,property_county,property_type_detail,bedroom_count,bathroom_count,total_building_area_square_feet,lot_size_square_feet,year_built,estimated_value,last_sale_price,last_sale_date,zoning_code,total_assessed_value,mls_status,mls_listing_date,mls_listing_amount,borough
2502,226 E 27th St,New York,NY,10016-9274,New York,Cooperative Unit,0.0,1.0,9620.0,2469.0,1920.0,,,,R8B,1115010.0,Off Market,2009-02-22,0,Manhattan
2503,53 Hester St,New York,NY,10002-4894,New York,Apartment House (5+ Units),3.0,2.0,15376.0,2188.0,2013.0,4011818.0,3193775.0,2013-03-04,C6-2,1823040.0,Off Market,,0,Manhattan
2504,112 Waverly Pl,New York,NY,10011-9220,New York,Apartment House (5+ Units),5.0,7.0,3822.0,2144.0,1900.0,12621808.0,12005000.0,2024-02-29,R7-2,404329.0,Off Market,2023-05-15,0,Manhattan
2505,441 E 75th St,New York,NY,10021-3115,New York,Apartment House (5+ Units),,,5135.0,1277.0,1910.0,1053913.0,,2021-08-30,R10,736771.0,,,0,Manhattan
2506,343 E 92nd St,New York,NY,10128-5472,New York,Cooperative Unit,,,9375.0,2517.0,1920.0,,,,R8B,1085130.0,Off Market,,0,Manhattan
2507,347 E 33rd St,New York,NY,10016,New York,Highrise Apartment,,,213549.0,13770.0,1998.0,3059454.0,210000000.0,2023-08-30,C19A,28636200.0,,,0,Manhattan
2508,319 W 54th St,New York,NY,10019,New York,Cooperative Unit,,1.0,22580.0,5857.0,1980.0,2237103.0,,,R8,2203550.0,Off Market,,0,Manhattan
2509,2 E 67th St,New York,NY,10065-5859,New York,Cooperative Unit,3.0,5.0,93515.0,8400.0,1928.0,986452.0,,2016-12-08,R10,11396360.0,Off Market,,0,Manhattan
2510,9 5th Ave Fl MASTER,New York,NY,10017-2496,New York,Cooperative Unit,,,392071.0,37566.0,1955.0,,,,R10,,,,0,Manhattan
2511,491 W 22nd St,New York,NY,10011-2503,New York,Apartment House (5+ Units),3.0,2.0,4150.0,1547.0,1900.0,5026610.0,4887500.0,2014-10-08,R7B,389766.0,Off Market,,0,Manhattan
2512,306 W 93rd St,New York,NY,10025-7216,New York,Apartment House (5+ Units),,,25794.0,5550.0,1927.0,2204725.0,,,R8,1957050.0,,,0,Manhattan
2513,119 W 71st St,New York,NY,10023-3876,New York,Cooperative Unit,,,55382.0,7663.0,1913.0,,,,R8B,6111870.0,Off Market,,0,Manhattan
2514,72 Clinton St,New York,NY,10002-2430,New York,Cooperative Unit,1.0,1.0,14425.0,2850.0,1925.0,941444.0,,,R7A,1618740.0,Off Market,,0,Manhattan
2515,69 8th Ave,New York,NY,10014-1224,New York,Cooperative Unit,3.0,2.0,10055.0,2575.0,1910.0,1924496.0,,,C1-6,1563940.0,Off Market,2016-04-13,0,Manhattan
2516,308 E 89th St,New York,NY,10128-5015,New York,Apartment House (5+ Units),,,8340.0,2518.0,1910.0,1111119.0,,,R8B,588870.0,,,0,Manhattan
2517,154 Perry St,New York,NY,10014,New York,Cooperative Unit,,,18510.0,7042.0,1975.0,,1900000.0,2020-11-17,C16A,2692260.0,Off Market,,0,Manhattan
2518,339 E 81st St,New York,NY,10028-4070,New York,Apartment House (5+ Units),1.0,1.0,8870.0,2554.0,1910.0,3133532.0,6435500.0,2001-03-14,R8B,1150440.0,Off Market,,0,Manhattan
2519,229 W 22nd St,New York,NY,10011-2742,New York,Apartment House (5+ Units),,,3600.0,1588.0,1910.0,4058522.0,92007577.0,2016-10-28,R8B,293361.0,,,0,Manhattan
2520,347 E 82nd St,New York,NY,10028-4648,New York,Apartment House (5+ Units),,,9175.0,2554.0,1910.0,1529245.0,,,R8B,1294460.0,,,0,Manhattan
2521,175 Eldridge St,New York,NY,10002-2941,New York,Apartment House (5+ Units),,,61380.0,15138.0,1988.0,,,,C44A,6791490.0,,,0,Manhattan
2522,411 E 82nd St,New York,NY,10028-6052,New York,Apartment House (5+ Units),,,8020.0,2554.0,1910.0,1318160.0,,,R8B,641060.0,,,0,Manhattan
2523,143 W 4th St,New York,NY,10012-1055,New York,Apartment House (5+ Units),2.0,1.0,10570.0,2855.0,1900.0,14975027.0,13200000.0,2013-11-20,R7-2,2380950.0,Off Market,,0,Manhattan
2524,470-472 W End Ave,New York,NY,10024-4933,New York,Cooperative Unit,0.0,0.0,207126.0,15625.0,1928.0,,,,R10A,20623500.0,Off Market,,0,Manhattan
2525,223 W 78th St,New York,NY,10024-6666,New York,Apartment House (5+ Units),,,3449.0,2043.0,1910.0,4594123.0,4480000.0,2022-12-13,R8B,377914.0,,,0,Manhattan
2526,317 W 76th St,New York,NY,10023-8048,New York,Apartment House (5+ Units),,,6091.0,2043.0,1900.0,1711937.0,,,R8B,676159.0,,,0,Manhattan
2527,336 E 19th St,New York,NY,10003-2857,New York,Apartment House (5+ Units),,,4080.0,1840.0,1910.0,4007699.0,2975200.0,2007-07-16,R7B,492890.0,,,0,Manhattan
2528,140 Riverside Blvd,New York,NY,10069-0601,New York,Highrise Apartment,,,367786.0,30462.0,2002.0,2975522.0,265650000.0,2022-04-07,R10,44657490.0,,,0,Manhattan
2529,309 E 81st St,New York,NY,10028-4046,New York,Apartment House (5+ Units),4.0,3.0,10025.0,2554.0,1910.0,3512258.0,,,R8B,1557410.0,Off Market,,0,Manhattan
2530,185 E 3rd St,New York,NY,10009-7410,New York,Apartment House (5+ Units),5.0,2.0,35550.0,7188.0,1950.0,11445758.0,4695.0,2015-07-15,R8B,2954340.0,Sold,,0,Manhattan
2531,300 E 3rd St,New York,NY,10009-7473,New York,Apartment House (5+ Units),,,7989.0,2393.0,2001.0,1929468.0,1950000.0,2019-08-08,R8B,1194490.0,,,0,Manhattan
2532,502 E 88th St,New York,NY,10128-7721,New York,Apartment House (5+ Units),,,8420.0,2518.0,1910.0,1033631.0,,,R10,947970.0,,,0,Manhattan
2533,230 W 24th St,New York,NY,10011-1718,New York,Apartment House (5+ Units),,,10350.0,2634.0,1901.0,1745406.0,,,R8A,1030460.0,,,0,Manhattan
2534,315 E 10th St,New York,NY,10009-5018,New York,Apartment House (5+ Units),,,9348.0,2369.0,1920.0,5519131.0,9067042.0,2023-12-20,R8B,1578748.0,,,0,Manhattan
2535,255 W 95th St,New York,NY,10025-6335,New York,Cooperative Unit,,,25272.0,5035.0,1908.0,1167884.0,8000.0,2015-07-10,R10A,2052890.0,Off Market,,0,Manhattan
2536,512 E 84th St,New York,NY,10028,New York,Cooperative Unit,1.0,1.0,29910.0,7662.0,1910.0,,750000.0,2020-04-20,R8B,3636390.0,Off Market,2012-05-17,0,Manhattan
2537,538 E 89th St,New York,NY,10128-7875,New York,Apartment House (5+ Units),,,9489.0,2517.0,1910.0,7508354.0,6115000.0,2013-04-10,R8B,956250.0,,,0,Manhattan
2538,410 E 52nd St,New York,NY,10022,New York,Cooperative Unit,0.0,0.0,179213.0,13425.0,1931.0,,,,R10,16725780.0,Off Market,,0,Manhattan
2539,2 Mitchell Pl,New York,NY,10017,New York,Cooperative Unit,2.0,1.0,125000.0,9182.0,1931.0,,3300000.0,2018-12-18,R10,12123070.0,Off Market,2008-06-19,0,Manhattan
2540,310 W 73rd St,New York,NY,10023-1650,New York,Apartment House (5+ Units),2.0,1.0,9380.0,2554.0,1915.0,1649848.0,111600000.0,2022-10-03,R10A,687424.0,Off Market,,0,Manhattan
2541,605 Water St,New York,NY,10002-8026,New York,Cooperative Unit,,,124600.0,24137.0,1964.0,1513720.0,,,R7-2,4490370.0,Off Market,,0,Manhattan
2542,238 W 71st St,New York,NY,10023-3763,New York,Apartment House (5+ Units),,,6210.0,2010.0,1910.0,1668173.0,,,R8B,714882.0,,,0,Manhattan
